,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
2836956,10:05:17.221000,5,False,False,348,294,123027,1033,cam1
2836972,10:05:17.738000,5,False,False,292,215,18681,1321,cam0
2837009,10:05:19.169000,5,False,False,390,189,100416,1267,cam2
2837064,10:05:21.169000,5,False,False,358,252,100417,1303,cam2
2837125,10:05:23.235000,5,False,False,277,220,18681,1402,cam0
2837133,10:05:23.471000,5,False,False,418,254,100434,1350,cam2
2837271,10:05:29.673000,5,False,False,355,242,100417,1263,cam2
2837289,10:05:30.672000,5,False,False,388,207,100416,1223,cam2
2837469,10:05:39.671000,5,False,False,387,209,100416,1221,cam2
2837521,10:05:42.169000,5,False,False,414,270,100434,1170,cam2
2837527,10:05:42.474000,5,False,False,387,209,100416,1221,cam2
2837556,10:05:43.975000,5,False,False,414,271,100434,1120,cam2
2837763,10:05:53.420000,5,False,False,352,168,123041,1246,cam1
2837778,10:05:53.970000,5,False,False,387,208,100416,1222,cam2
2838013,10:06:05.244000,5,False,False,215,173,18683,1210,cam0
2838025,10:06:05.924000,5,False,False,353,168,123041,1217,cam1
2838030,10:06:06.169000,5,False,False,356,244,100417,1233,cam2
2838033,10:06:06.240000,5,False,False,216,173,18683,1218,cam0
2838035,10:06:06.418000,5,False,False,404,280,123030,1125,cam1
2838069,10:06:08.169000,5,False,False,389,186,100416,1260,cam2
2838095,10:06:09.415000,5,False,False,403,277,123030,1160,cam1
2838169,10:06:13.171000,5,False,False,388,186,100416,1253,cam2
2838177,10:06:13.466000,5,False,False,389,185,100416,1260,cam2
2838231,10:06:15.973000,5,False,False,389,185,100416,1268,cam2
2838298,10:06:18.714000,5,False,False,354,167,123041,1239,cam1
2838321,10:06:19.673000,5,False,False,389,187,100416,1267,cam2
2838347,10:06:20.473000,5,False,False,355,243,100417,1233,cam2
2838354,10:06:20.716000,5,False,False,348,294,123058,1023,cam1
2838356,10:06:20.918000,5,False,False,348,294,123058,1023,cam1
2838386,10:06:21.942000,5,False,False,216,173,18683,1210,cam0
2838398,10:06:22.413000,5,False,False,354,167,123041,1231,cam1
2838456,10:06:24.435000,5,False,False,216,172,18683,1210,cam0
2838506,10:06:26.220000,5,False,False,347,293,123058,1032,cam1
2838513,10:06:26.466000,5,False,False,386,191,100416,1228,cam2
2838592,10:06:29.236000,5,False,False,216,173,18683,1210,cam0
2838606,10:06:29.741000,5,False,False,216,173,18683,1218,cam0
2838656,10:06:31.669000,5,False,False,353,244,100417,1211,cam2
2838670,10:06:32.173000,5,False,False,355,244,100417,1218,cam2
2838747,10:06:34.919000,5,False,False,420,308,123067,873,cam1
2838784,10:06:36.173000,5,False,False,355,244,100417,1226,cam2
2838794,10:06:36.467000,5,False,False,388,192,100416,1229,cam2
2838849,10:06:38.468000,5,False,False,425,239,100454,1215,cam2
2838880,10:06:39.672000,5,False,False,426,241,100454,1244,cam2
2838965,10:06:42.667000,5,False,False,354,244,100417,1211,cam2
2839021,10:06:44.674000,5,False,False,388,191,100416,1251,cam2
2839151,10:06:49.221000,5,False,False,348,288,123058,1070,cam1
2839225,10:06:51.917000,5,False,False,417,306,123067,894,cam1
2839245,10:06:52.672000,5,False,False,352,245,100417,1247,cam2
2839268,10:06:53.439000,5,False,False,215,173,18683,1210,cam0
2839284,10:06:53.974000,5,False,False,353,246,100417,1240,cam2
2839386,10:06:57.673000,5,False,False,351,245,100417,1225,cam2
2839391,10:06:57.940000,5,False,False,215,173,18683,1210,cam0
2839399,10:06:58.168000,5,False,False,422,246,100454,1341,cam2
2839415,10:06:58.715000,5,False,False,420,307,123067,873,cam1
2839500,10:07:01.719000,5,False,False,348,296,123058,963,cam1
2839509,10:07:01.966000,5,False,False,421,249,100454,1320,cam2
2839520,10:07:02.442000,5,False,False,216,173,18683,1210,cam0
2839591,10:07:04.974000,5,False,False,390,193,100416,1258,cam2
2839837,10:07:13.717000,5,False,False,354,166,123041,1217,cam1
2839920,10:07:16.941000,5,False,False,216,173,18683,1217,cam0
2840019,10:07:20.474000,5,False,False,388,192,100416,1236,cam2
2840202,10:07:26.975000,5,False,False,354,241,100417,1242,cam2
2840205,10:07:27.165000,5,False,False,354,241,100417,1242,cam2
2840227,10:07:27.919000,5,False,False,348,297,123080,973,cam1
2840240,10:07:28.414000,5,False,False,348,296,123080,973,cam1
2840353,10:07:32.421000,5,False,False,347,301,123080,922,cam1
2840434,10:07:34.974000,5,False,False,390,191,100416,1244,cam2
2840439,10:07:35.217000,5,False,False,353,168,123041,1239,cam1
2840506,10:07:37.262000,5,False,False,216,173,18683,1217,cam0
2840519,10:07:37.719000,5,False,False,348,294,123080,1023,cam1
2840661,10:07:42.173000,5,False,False,353,242,100417,1270,cam2
2840667,10:07:42.421000,5,False,False,355,167,123041,1224,cam1
2840668,10:07:42.421000,5,False,False,420,305,123067,894,cam1
2840768,10:07:45.470000,5,False,False,389,189,100416,1267,cam2
2840776,10:07:45.717000,5,False,False,353,168,123041,1255,cam1
2840808,10:07:46.724000,5,False,False,420,307,123067,883,cam1
2840899,10:07:49.674000,5,False,False,388,192,100416,1229,cam2
2840916,10:07:50.166000,5,False,False,354,239,100417,1212,cam2
2840921,10:07:50.263000,5,False,False,300,211,18700,1252,cam0
2840965,10:07:51.666000,5,False,False,418,252,100454,1283,cam2
2840999,10:07:52.714000,5,False,False,352,308,123080,869,cam1
2841020,10:07:53.424000,5,False,False,418,306,123067,905,cam1
2841028,10:07:53.672000,5,False,False,418,252,100454,1283,cam2
2841060,10:07:54.666000,5,False,False,358,249,100417,1239,cam2
2841119,10:07:56.456000,5,False,False,301,212,18700,1252,cam0
2841164,10:07:57.914000,5,False,False,420,305,123067,894,cam1
2841192,10:07:58.724000,5,False,False,420,307,123067,873,cam1
2841224,10:07:59.720000,5,False,False,351,170,123041,1255,cam1
2841302,10:08:02.249000,5,False,False,420,307,123067,873,cam1
2841319,10:08:02.722000,5,False,False,351,170,123041,1255,cam1
2841360,10:08:03.970000,5,False,False,388,190,100416,1251,cam2
2841396,10:08:05.165000,5,False,False,346,246,100417,1282,cam2
2841400,10:08:05.220000,5,False,False,420,308,123067,873,cam1
2841434,10:08:06.254000,5,False,False,216,173,18683,1210,cam0
2841521,10:08:09.423000,5,False,False,349,302,123080,922,cam1
2841522,10:08:09.423000,5,False,False,357,166,123041,1217,cam1
2841637,10:08:12.971000,5,False,False,423,247,100454,1307,cam2
2841694,10:08:14.922000,5,False,False,404,281,123067,1126,cam1
2841780,10:08:17.473000,5,False,False,349,244,100417,1255,cam2
2841801,10:08:18.216000,5,False,False,349,300,123080,900,cam1
2841809,10:08:18.455000,5,False,False,303,212,18700,1244,cam0
2841860,10:08:19.972000,5,False,False,350,243,100417,1255,cam2
2841975,10:08:23.666000,5,False,False,347,234,100417,1206,cam2
2842012,10:08:24.752000,5,False,False,216,173,18713,1210,cam0
2842022,10:08:25.170000,5,False,False,422,246,100454,1314,cam2
2842097,10:08:27.460000,5,False,False,301,212,18700,1252,cam0
2842109,10:08:27.756000,5,False,False,216,173,18713,1210,cam0
