entry,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
1139563,08:20:14.311000,2,True,False,394,117,12040,1548,cam0
1139617,08:20:19.012000,2,True,False,390,112,12089,1532,cam0
1139668,08:20:23.221000,2,True,False,474,114,20831,872,cam2
1139675,08:20:23.809000,2,True,False,253,113,12030,1179,cam0
1139693,08:20:26.004000,2,True,False,252,113,12030,1171,cam0
1139737,08:20:31.720000,2,True,False,437,112,20917,1267,cam2
1139746,08:20:32.503000,2,True,False,390,107,12092,1539,cam0
1139836,08:20:47.512000,2,True,False,446,106,20936,1476,cam2
1139875,08:20:55.515000,2,True,False,452,104,20944,1414,cam2
1139944,08:21:18.259000,2,True,False,430,110,20962,1552,cam2
1139985,08:21:25.243000,2,True,False,430,115,20962,1500,cam2
1140029,08:21:31.243000,2,True,False,425,115,20962,1528,cam2
1140128,08:21:43.937000,2,True,False,426,115,20962,1534,cam2
1140153,08:21:46.937000,2,True,False,426,111,20962,1524,cam2
1140161,08:21:47.526000,2,True,False,436,120,12118,1619,cam0
1140172,08:21:48.527000,2,True,False,396,108,12129,1512,cam0
1140187,08:21:49.830000,2,True,False,438,117,12118,1559,cam0
1140261,08:21:57.437000,2,True,False,480,124,20967,881,cam2
1140320,08:22:01.828000,2,True,False,438,117,12118,1544,cam0
1140334,08:22:02.946000,2,True,False,482,123,20967,858,cam2
1140355,08:22:06.321000,2,True,False,438,117,12118,1544,cam0
1140442,08:22:20.745000,2,True,False,429,110,20973,1519,cam2
1140457,08:22:26.244000,2,True,False,435,109,20984,1508,cam2
1140479,08:22:30.942000,2,True,False,470,115,20985,895,cam2
1140505,08:22:39.524000,2,True,False,398,112,12160,1516,cam0
1140509,08:22:40.524000,2,True,False,398,112,12160,1533,cam0
1140515,08:22:42.023000,2,True,False,395,115,12160,1538,cam0
1140572,08:23:49.826000,2,True,False,395,106,12179,1512,cam0
1140651,08:24:02.827000,2,True,False,439,108,12190,1518,cam0
1140713,08:24:09.244000,2,True,False,427,111,21107,1530,cam2
1140748,08:24:12.524000,2,True,False,437,108,12209,1546,cam0
1140795,08:24:18.823000,2,True,False,438,108,12225,1527,cam0
1140811,08:24:20.825000,2,True,False,395,106,12204,1512,cam0
